raw time,,adjusted time,, trigger
1738540685.604,,4.142000198,,1
1738540685.611,,4.149000168,,1
1738540685.619,,4.157000065,,1
1738540685.627,,4.1650002,,1
1738540685.633,,4.171000004,,1
1738540685.639,,4.177000046,,1
1738540685.646,,4.184000015,,1
1738540685.653,,4.191000223,,1
1738540685.660,,4.198000193,,1
1738540685.667,,4.205000162,,1
1738540685.674,,4.212000132,,1
1738540685.681,,4.219000101,,1
1738540685.688,,4.226000071,,0.996078
1738540685.695,,4.23300004,,0.996078
1738540685.702,,4.24000001,,0.984314
1738540685.709,,4.247000217,,0.956863
1738540685.716,,4.254000187,,0.956863
1738540685.723,,4.261000156,,0.941176
1738540685.730,,4.268000126,,0.941176
1738540685.736,,4.274000168,,0.941176
1738540685.743,,4.281000137,,0.92549
1738540685.751,,4.289000034,,0.921569
1738540685.758,,4.296000004,,0.913725
1738540685.766,,4.304000139,,0.913725
1738540685.772,,4.310000181,,0.905882
1738540685.778,,4.316000223,,0.898039
1738540685.787,,4.325000048,,0.898039
1738540685.793,,4.33100009,,0.901961
1738540685.800,,4.338000059,,0.898039
1738540685.806,,4.344000101,,0.898039
1738540685.815,,4.353000164,,0.898039
1738540685.820,,4.35800004,,0.898039
1738540685.827,,4.36500001,,0.898039
1738540685.834,,4.372000217,,0.894118
1738540685.841,,4.379000187,,0.894118
1738540685.848,,4.386000156,,0.894118
1738540685.855,,4.393000126,,0.894118
1738540685.862,,4.400000095,,0.890196
1738540685.869,,4.407000065,,0.882353
1738540685.876,,4.414000034,,0.882353
1738540685.883,,4.421000004,,0.87451
1738540685.890,,4.428000212,,0.858824
1738540685.896,,4.434000015,,0.858824
1738540685.903,,4.441000223,,0.839216
1738540685.910,,4.448000193,,0.815686
1738540685.918,,4.45600009,,0.796078
1738540685.926,,4.464000225,,0.796078
1738540685.931,,4.469000101,,0.780392
1738540685.938,,4.476000071,,0.760784
1738540685.946,,4.484000206,,0.760784
1738540685.952,,4.49000001,,0.741176
1738540685.958,,4.496000051,,0.72549
1738540685.967,,4.505000114,,0.72549
1738540685.973,,4.511000156,,0.701961
1738540685.980,,4.518000126,,0.666667
1738540685.987,,4.525000095,,0.666667
1738540685.994,,4.532000065,,0.631373
1738540686.001,,4.539000034,,0.596078
1738540686.008,,4.546000004,,0.580392
1738540686.015,,4.553000212,,0.580392
1738540686.022,,4.560000181,,0.572549
1738540686.029,,4.567000151,,0.560784
1738540686.035,,4.573000193,,0.560784
1738540686.042,,4.580000162,,0.54902
1738540686.049,,4.587000132,,0.533333
1738540686.056,,4.594000101,,0.533333
1738540686.063,,4.601000071,,0.521569
1738540686.071,,4.609000206,,0.505882
1738540686.077,,4.61500001,,0.486275
